feature,scope,family,role,availability,qualification,evidence_gate
ongoing,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
age_days,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
held_units,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
harvestable_units,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
watered_today,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
dry_streak,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
fertilizer_active,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
first_production_day,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
last_production_day,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
lifetime_event_count,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
scheduled_events_elapsed,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
scheduled_events_remaining,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
events_before_game_end,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
has_future_event,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
callbacks_to_next_event,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
empty_exhausted,plant,productive_lifetime,action_gate_component,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
water_job_redundant_by_lifetime,plant,productive_lifetime,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
main_farmer_travel,plant,access_and_expiry,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
nearest_current_worker_travel,plant,access_and_expiry,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
next_decay_in_callbacks,plant,access_and_expiry,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
decay_scheduled,plant,access_and_expiry,candidate_context_or_diagnostic,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
frozen_replant_window_open,plant,renewal_opportunity,action_gate_component,current legal own observation and fixed engine constants only,"Nominal events assume survival; first-sale step is a lower bound, not executable-profit forecast. No future orders/seed/reward input.",provisional; no selected final predictors or importance claim
