feature,family,description,availability,learned,official_metric_value_proven
cash.product.WHEAT.shed_before,post_action_cash,Product units in own shed before selected farm actions.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.shed_after,post_action_cash,"Product units after selected farm actions, before the market phase.",current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.shed_delta,post_action_cash,After-minus-before shed inventory; includes pickups/deposits.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.control_sell_requested,post_action_cash,Quantity requested by source-style orders.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.aligned_sell_requested,post_action_cash,Quantity requested by the same rule on actual post-action inventory.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.control_sellable_units,post_action_cash,Control request capped by post-action available product units.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.aligned_sellable_units,post_action_cash,Aligned request capped by post-action available product units.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.sellable_units_delta,post_action_cash,Aligned-minus-control immediately sellable units.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.control_residual_units,post_action_cash,Unsold shed units after the conditional control sale.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.aligned_residual_units,post_action_cash,Unsold shed units after the conditional aligned sale.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.control_solo_revenue,post_action_cash,Exact one-seller immediate market-curve value for the control request.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.aligned_solo_revenue,post_action_cash,Exact one-seller immediate market-curve value for the aligned request.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.solo_revenue_delta,post_action_cash,"Difference in explicitly no-rival-order conditional cash, not actual next-state reward.",current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.aligned_rule_reserve_units,post_action_cash,Product units left unsold by the common reserve rule.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.uncovered_sellable_units,post_action_cash,Positive part of aligned-minus-control sellable units.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.WHEAT.undercoverage_present,post_action_cash,Whether actual post-action inventory has under-covered sellable units.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.CARROT.shed_before,post_action_cash,Product units in own shed before selected farm actions.,current legal observation plus copied own proposed farm-action effects,False,False
cash.product.CARROT.shed_after,post_action_cash,"Product units after selected farm actions, before the market phase.",current legal observation plus copied own proposed farm-action effects,False,False
cash.product.CARROT.shed_delta,post_action_cash,After-minus-before shed inventory; includes pickups/deposits.,current legal observation plus copied own proposed farm-action effects,False,False
