feature,family,role,availability,limitation
sale_timing.last_callback,horizon_gate,action_changing_fixed_horizon_gate,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.future_sale_callbacks,horizon_gate,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.next_shop_event_offset,horizon_gate,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.post_action_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.current_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.sell_now_solo_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h1.available,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h1.known_demand_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h1.demand_only_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h1.demand_only_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h1.conditional_holding_premium,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h4.available,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h4.known_demand_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h4.demand_only_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h4.demand_only_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.WHEAT.h4.conditional_holding_premium,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.post_action_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.current_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.sell_now_solo_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h1.available,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h1.known_demand_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h1.demand_only_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h1.demand_only_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h1.conditional_holding_premium,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h4.available,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h4.known_demand_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h4.demand_only_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h4.demand_only_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.CARROT.h4.conditional_holding_premium,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.post_action_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.current_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.sell_now_solo_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h1.available,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h1.known_demand_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h1.demand_only_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h1.demand_only_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h1.conditional_holding_premium,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h4.available,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h4.known_demand_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h4.demand_only_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h4.demand_only_value,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.TOMATO.h4.conditional_holding_premium,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.STRAWBERRY.post_action_units,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
sale_timing.STRAWBERRY.current_quote,conditional_known_demand_timing,diagnostic_candidate_only,current own legal observation plus own proposed farm actions,known-demand scenario excludes unknown rival trades; unavailable horizon is explicitly masked
