feature,level,information,interpretation,status
scenario_available,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
pass_units,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
water_units,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
harvest_units,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
water_harvest_units,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
water_gain_without_harvest,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
water_gain_with_harvest,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
water_harvest_interaction,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
cap_masked_water_gain,plant,current own public farm and clock; fixed crop rules,"conditional two-action crop pathway; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
two_refresh_available,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
no_water_alive_after_two,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
water_now_alive_after_two,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
two_refresh_survival_buffer_gain,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
current_water_deadline_callbacks,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
nearest_worker_travel,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
second_worker_travel,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
single_worker_water_actions,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
current_water_deadline_slack,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
workers_with_water_access,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
current_yield_headroom,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
fertilizer_active_next_refresh,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
next_refresh_available,plant,current own public farm and clock; fixed crop rules,"conditional survival / current worker access; No cash, no future action, no opponent-private input. Availability masks gate unavailable scenarios.",candidate; no policy use or predictive-value claim
crop_count,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
workers,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
urgent_water_tasks,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
deferred_dry_tasks,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
two_refresh_vulnerable_crops,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
cap_masked_water_crops,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
urgent_tasks_without_current_worker_access,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
urgent_tasks_per_worker,state,current own public farm and clock,Aggregate of prospective crop/access descriptors; not a joint schedule,candidate; no policy use
