feature,scope,role,family,availability,definition,selected_predictor,limitation,units
quantity,task,policy_input_or_derived_value,current_lot_value,current legal own observation + pinned default mechanics,Current eligible tile yield units; no future production,False,"Defined one-sided scenario, not forecast; no outcome label in policy",units
current_quote,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,"Pinned market_price(item, current public inventory)",False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins/unit
shed_units_ahead,task,policy_input_or_derived_value,current_lot_value,current legal own observation + pinned default mechanics,"Own currently held same-product shed units, before hypothetical sale",False,"Defined one-sided scenario, not forecast; no outcome label in policy",units
headline_value,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,current_quote * quantity; original HARVEST value input,False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
lot_value_without_backlog,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,"R(I,q), exact one-sided current-curve lot revenue",False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
marginal_value_after_shed,task,policy_input_or_derived_value,current_lot_value,current legal own observation + pinned default mechanics,"R(I,b+q)-R(I,b); intervention value replacing headline_value",False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
within_lot_price_impact,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,"headline_value - R(I,q)",False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
backlog_price_impact,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,"R(I,q) - [R(I,b+q)-R(I,b)]",False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
total_quote_overstatement,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,headline_value - marginal_value_after_shed,False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
marginal_to_headline_ratio,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,marginal_value_after_shed/headline_value; zero when empty,False,"Defined one-sided scenario, not forecast; no outcome label in policy",ratio
post_shed_quote,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,Quote after a hypothetical sale of existing same-product shed units,False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins/unit
price_floor_units_in_lot,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,Number of marginal-lot units receiving one coin without adding market inventory,False,"Defined one-sided scenario, not forecast; no outcome label in policy",units
known_shop_demand_per_event,task,diagnostic_only,conditional_arrival,current legal own observation + pinned default mechanics,Sum current duplicate-shop product demands; specialty shops consume two units,False,"Defined one-sided scenario, not forecast; no outcome label in policy",units/event
nearest_worker_travel,task,diagnostic_only,current_lot_value,current legal own observation + pinned default mechanics,Minimum Manhattan distance from currently observed friendly workers,False,"Defined one-sided scenario, not forecast; no outcome label in policy",actions
earliest_delivery_delay,task,diagnostic_only,conditional_arrival,current legal own observation + pinned default mechanics,nearest_worker_travel + HARVEST(1) + distance to nearest shed access,False,"Defined one-sided scenario, not forecast; no outcome label in policy",callbacks
delivery_scenario_available,task,diagnostic_only,conditional_arrival,current legal own observation + pinned default mechanics,Earliest DROP/SELL remains within current day and callback <=718,False,"Defined one-sided scenario, not forecast; no outcome label in policy",boolean
known_demand_before_delivery,task,diagnostic_only,conditional_arrival,current legal own observation + pinned default mechanics,Current shop and town-center consumption during callbacks step..step+delay-1,False,"Defined one-sided scenario, not forecast; no outcome label in policy",units
demand_only_marginal_value,task,diagnostic_only,conditional_arrival,current legal own observation + pinned default mechanics,"R(I-d,b+q)-R(I-d,b), with current shops only; masked outside valid horizon",False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
demand_only_value_change,task,diagnostic_only,conditional_arrival,current legal own observation + pinned default mechanics,demand_only_marginal_value - marginal_value_after_shed when available,False,"Defined one-sided scenario, not forecast; no outcome label in policy",coins
harvest_tasks,state,diagnostic_only,task_context,current candidate task table,harvest tasks,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
crop_tasks,state,diagnostic_only,task_context,current candidate task table,crop tasks,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
animal_tasks,state,diagnostic_only,task_context,current candidate task table,animal tasks,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
total_ready_units,state,diagnostic_only,task_context,current candidate task table,total ready units,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
tasks_with_quote_overstatement,state,diagnostic_only,task_context,current candidate task table,tasks with quote overstatement,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
maximum_quote_overstatement,state,diagnostic_only,task_context,current candidate task table,maximum quote overstatement,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
maximum_backlog_impact,state,diagnostic_only,task_context,current candidate task table,maximum backlog impact,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
tasks_with_available_delivery_scenario,state,diagnostic_only,task_context,current candidate task table,tasks with available delivery scenario,False,"Descriptive summary, not independently feasible joint value",count/coins according to component
