feature,level,meaning,implementation_expression,availability,role
current_units,worker_crop_task,current units,q,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
current_quote,worker_crop_task,current quote,quote,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
current_quote_value,worker_crop_task,current quote value,q * quote,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
travel_actions,worker_crop_task,travel actions,travel,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
hours_until_refresh,worker_crop_task,hours until refresh,night,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
same_day_arrival,worker_crop_task,same day arrival,int(same),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
arrival_callback,worker_crop_task,arrival callback,step + travel,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
sale_callback_lower_bound,worker_crop_task,sale callback lower bound,sale,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
remaining_callbacks,worker_crop_task,remaining callbacks,719 - step,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
delivery_actions,worker_crop_task,delivery actions,travel + shed_distance(target) + 2,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
delivery_within_season,worker_crop_task,delivery within season,int(sale <= 718),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
delivery_before_refresh,worker_crop_task,delivery before refresh,int(sale < step + night),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
decay_on_route,worker_crop_task,decay on route,dc,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
units_at_arrival,worker_crop_task,units at arrival,remaining,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
lost_units_on_route,worker_crop_task,lost units on route,q - remaining,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
lost_quote_value,worker_crop_task,lost quote value,(q - remaining) * quote,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
arrival_quote_value,worker_crop_task,arrival quote value,remaining * quote,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
