round,level,feature,definition,availability,role,status
20,worker_option,travel_actions,Travel actions; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,service_actions,Service actions; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,service_effort,Service effort; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,hours_left,Hours left; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,decisions_left,Decisions left; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,deadline_callback_offset,Deadline callback offset; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,completion_slack,Callbacks until refresh minus outbound distance minus one service action.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,deadline_exists,Deadline exists; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,reachable_today,Reachable today; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
20,worker_option,survival_critical,Unserviced plant/animal with current dry/unfed streak >=1.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
