table,feature,units,definition,availability,adoption_status
plant,age_days,days,Current public day minus planted_day.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,ongoing,indicator,One for repeated-yield crops; zero for single-yield crops.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,watered_today,indicator,Whether WATER has already been applied today.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,dry_streak,days,Consecutive unwatered days in the current public plant state.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,hours_until_refresh,callbacks,"24 minus current hour, including the current callback.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,refresh_available,mask,One when the next nightly refresh precedes the endpoint. Check this before interpreting scenario zeros.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,current_units,product units,"Visible held yield, whether or not mature enough to harvest.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,harvestable_units,product units,Current yield after the first-yield maturity gate; zero before maturity.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,fertilized_today,indicator,Fertilizer expiry is at least the current day.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,water_bonus_now,product units,Capped immediate change in yield from WATER now; does not assume future actions.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,production_due_next_refresh,indicator,A registered ongoing-crop production event is due next refresh and that refresh exists.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,no_water_alive,indicator,Plant survives remaining decay and next refresh with no additional treatment; zero when unavailable.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,water_alive,indicator,Plant survives remaining decay and next refresh after WATER now; zero when unavailable.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,no_water_next_units,product units,Yield at next refresh under no-WATER scenario; zero for a dead/unavailable plant.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,water_next_units,product units,Yield at next refresh under WATER-now scenario; zero for a dead/unavailable plant.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,next_units_delta,product units,WATER-now minus no-WATER next-refresh yield; both include remaining in-day decay.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,survival_gain,indicator difference,WATER-now survival minus no-WATER survival at the next refresh.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,no_water_next_dry_streak,days,"Dry streak after no-WATER refresh, zero when dead/unavailable; use survival/mask fields.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,water_next_dry_streak,days,"Dry streak after WATER-now refresh, zero when dead/unavailable; use survival/mask fields.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,next_day_maintenance_debt,indicator,Eligible deferral leaves a surviving plant with dry streak at least one tomorrow.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,defer_eligible,indicator,"Unwatered, refresh available, no dry-streak obligation and no immediate/next-refresh survival or unit gain. Not a guarantee of globally safe deferral.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,keep_water,indicator,"Keep the source WATER job if unwatered and survival obligation, immediate units, next-refresh gain, or unavailable refresh applies.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,remaining_production_events,events scenario,"Known scheduled future maturity/production events through day29, conditional on survival; not monetized yield.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,next_production_available,mask,At least one scheduled future event exists before the endpoint.,"Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
plant,next_production_days,days,"Days to the next scheduled future event, zero when no event; use availability mask.","Current own public farm, visible prices, public clock, and pinned public crop rules only.",Candidate/context; not independently validated or selected.
